Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Thailand,34.88888889,18.22222222,27.05555556,1615.44,622.4945378529995,69799.978,69625.582,1.0025,513120.0,135.6906,39.38,60.62,78.08,75.39,36.0,30.0,5.0,25.0,53.33333332000001,26.222222170000066,,90.95396,60.62,36.0,78.08,24.61,30.0,48.806700425056555,88.6193317260703,49.79715227288295,10
Israel,32.72222222,7.055555556,19.33333333,467.36,1355.5777541108814,8655.535,8519.377,1.016,20770.0,410.177,31.21,68.79,73.76,58.42,60.0,76.0,33.0,43.0,18.666666672000005,37.00000000800001,,72.13021428571429,68.79,60.0,73.76,41.58,94.0,73.99010623096702,45.85053311053442,49.60776168795099,10
Georgia,27.05555556,2.111111111,14.0,878.84,445.6375593892662,3989.167,3996.765,0.9981,69700.0,57.3424,22.62,77.38,53.83,69.7,56.0,60.0,23.0,37.0,20.222222204000005,29.333333333,,96.17717333333334,77.38,56.0,53.83,30.299999999999997,70.0,57.12501152438594,95.14541468702446,49.17387774526523,10
Japan,28.77777778,0.222222222,13.94444444,1717.04,1223.4872407949747,126476.461,126860.301,0.997,377930.0,335.6714,21.95,78.05,80.68,39.4,74.0,96.0,40.0,56.0,12.888888883999996,23.388888865999995,,77.45204285714286,78.05,74.0,80.68,60.6,100.0,59.20977125566417,51.731640890288496,49.17160482050597,10
Somalia,33.11111111,19.5,26.61111111,312.42,441.1725382362051,15893.222,15442.905,1.0292,637657.0,24.2182,56.04,43.96,,,12.0,7.0,1.0,6.0,71.11111111999998,53.333333349999954,,98.38545333333333,43.96,12.0,,,7.0,47.12850015510283,95.29424872545982,48.95523486618099,8
Slovenia,22.61111111,-4.888888889,8.0,1247.14,802.2624501407123,2078.938,2078.654,1.0001,20273.0,102.5331,21.79,78.21,65.28,22.65,60.0,95.0,39.0,56.0,15.000000002,0.0,,93.16446,78.21,60.0,65.28,77.35,100.0,100.0,77.58554855665415,48.89375053522838,10
Cambodia,34.72222222,20.38888889,27.0,1760.22,650.0209543443094,16718.965,16486.542,1.0141,181035.0,91.0683,51.22,48.78,,78.21,21.0,24.0,5.0,19.0,65.33333336000001,29.166666700000007,,93.92878,48.78,21.0,,21.790000000000006,24.0,100.0,86.92981713399973,48.49741233399999,9
Italy,27.33333333,2.555555556,13.5,772.16,1057.2955807268124,60461.826,60550.075,0.9985,301336.0,200.9387,44.37,55.63,66.77,53.93,53.0,90.0,36.0,54.0,20.888888903999998,28.166666667999998,,86.60408666666666,55.63,53.0,66.77,46.07,100.0,71.4598942718669,61.93214173841876,48.04941044868452,10
Haiti,31.0,18.33333333,24.83333333,1516.38,990.7997974019212,11402.528,11263.077,1.0124,27750.0,405.8766,,,,,18.0,37.0,15.0,22.0,78.66666663999999,85.0,,72.43738571428571,,18.0,,,37.0,0.0,66.0135155806708,47.892764658434785,7
United Kingdom,19.83333333,1.444444444,9.333333333,754.38,1451.9510535471925,67886.011,67530.172,1.0053,242900.0,278.0164,45.26,54.74,74.93,40.25,77.0,93.0,39.0,54.0,46.444444456,3.9999999970000033,,81.46557333333334,54.74,77.0,74.93,59.75,100.0,44.34366306333329,42.00083672017287,47.84535179389622,10
Iceland,13.11111111,-3.777777778,3.611111111,967.74,1595.7301416815972,341.243,339.031,1.0065,103000.0,3.2916,24.13,75.87,65.69,16.24,75.0,94.0,37.0,57.0,52.444444448,0.0,,63.2916,75.87,75.0,65.69,83.76,100.0,5.695149851374232,36.25748415428629,47.811861848353786,10
Croatia,27.33333333,0.833333333,12.83333333,1043.94,874.2133019723212,4105.267,4130.304,0.9939,56594.0,72.9813,24.91,75.09,64.23,30.58,47.0,85.0,36.0,49.0,17.000000006,19.666666649000007,,95.13458,75.09,47.0,64.23,69.42,100.0,34.75945108461586,73.16935387618099,47.639169890831056,10
France,24.77777778,1.333333333,11.27777778,779.78,1236.1429230232002,65273.511,65129.728,1.0022,551695.0,118.0539,49.2,50.8,80.99,41.79,69.0,90.0,38.0,52.0,26.22222221199999,13.388888899000001,,92.12974,50.8,69.0,80.99,58.21,100.0,70.53217243957906,50.954861253754785,47.62847891136462,10
Morocco,30.72222222,6.388888889,17.5,429.26,414.1046455605541,36910.56,36471.769,1.012,446550.0,81.6745,49.1,50.9,45.81,70.38,40.0,37.0,13.0,24.0,22.666666676000006,50.333333367000016,,94.55503333333334,50.9,40.0,45.81,29.620000000000005,37.0,59.465745173154275,96.1965118146482,47.49670565447724,10
Paraguay,32.72222222,12.5,22.27777778,1574.8,425.0383284021705,7132.538,7044.636,1.0125,406752.0,17.3192,48.97,51.03,,,28.0,65.0,28.0,37.0,39.111111120000004,59.166666700000015,,77.3192,51.03,28.0,,,77.5,33.72132370035396,95.83205571992765,47.40030011189261,8
Latvia,20.16666667,-6.0,6.055555556,589.28,669.9920938532808,1886.198,1906.743,0.9892,64559.0,29.5349,37.21,62.79,62.18,33.91,57.0,89.0,37.0,52.0,17.666666659999997,0.0,,98.03100666666667,62.79,57.0,62.18,66.09,100.0,100.0,85.70402983868155,47.276148113459264,10
Nepal,29.05555556,1.777777778,18.72222222,1564.64,289.8080458629338,29136.808,28608.71,1.0185,147181.0,194.3777,35.72,64.28,57.94,84.26,33.0,56.0,25.0,31.0,15.444444436000005,57.111111093999995,,87.04148666666667,64.28,33.0,57.94,15.739999999999995,64.0,16.067096344929375,100.0,47.26831421041226,10
Albania,29.88888889,4.166666667,14.16666667,1229.36,476.65768397331567,2877.797,2880.917,0.9989,28748.0,100.2128,41.64,58.36,50.66,78.59,36.0,66.0,27.0,39.0,18.555555554,36.33333335099999,,93.31914666666667,58.36,36.0,50.66,21.409999999999997,79.0,72.60936540434577,94.11141053422281,47.24631461079595,10
Angola,28.72222222,11.16666667,21.27777778,993.14,3615.964339675875,32866.272,31825.295,1.0327,1246700.0,25.5276,66.63,33.37,,,27.0,31.0,10.0,21.0,49.777777799999996,100.0,,98.29816,33.37,27.0,,,31.0,0.0,7.615856603241248,47.179764931452574,8
South Africa,27.5,4.611111111,16.94444444,670.56,724.4292586154255,59308.69,58558.27,1.0128,1221037.0,47.9578,77.07,22.93,63.89,56.96,44.0,79.0,33.0,46.0,28.444444444,51.555555533,,96.80281333333333,22.93,44.0,63.89,43.04,98.5,0.0,82.36278909833203,47.15347514694784,10
Argentina,29.66666667,4.0,17.38888889,871.22,497.3239393747274,45195.774,44780.677,1.0093,2780400.0,16.1058,63.31,36.69,68.58,50.73,42.0,84.0,35.0,49.0,18.666666659999997,53.111111120000004,,76.1058,36.69,42.0,68.58,49.27,100.0,0.0,93.42253535417575,47.12378484901099,10
Switzerland,20.22222222,-5.833333333,5.833333333,1186.18,2052.45308512366,8654.622,8591.365,1.0074,41284.0,208.104,21.35,78.65,74.47,20.09,85.0,96.0,39.0,57.0,17.888888894000004,0.0,,86.1264,78.65,85.0,74.47,79.91,100.0,80.13976987986038,23.250969148763403,46.800515634851486,10
Zambia,31.72222222,8.722222222,21.0,1043.94,486.6299550226719,18383.955,17861.03,1.0293,752612.0,23.7321,43.22,56.78,,,33.0,52.0,20.0,32.0,28.000000008,70.333333366,,98.41785999999999,56.78,33.0,,,58.0,0.0,93.77900149924427,46.30772051926526,8
Zimbabwe,29.05555556,7.166666667,19.66666667,764.54,655.8748452689341,14862.924,14645.468,1.0148,390757.0,37.4797,58.88,41.12,,74.44,24.0,28.0,11.0,17.0,32.44444442800001,80.83333336100002,,97.50135333333333,41.12,24.0,,25.560000000000002,28.0,0.0,86.57051739948233,46.27150581214473,9
Netherlands,20.77777778,-0.222222222,9.555555556,754.38,,17134.872,17097.13,1.0022,41850.0,408.5336,27.22,72.78,75.76,25.28,82.0,98.0,40.0,58.0,35.999999992,0.1111111140000034,,72.2476,72.78,82.0,75.76,74.72,100.0,57.52065994535404,,45.88732180102213,9
Austria,22.66666667,-5.611111111,7.0,998.22,1123.655681950202,9006.398,8955.102,1.0057,83871.0,106.7723,25.23,74.77,78.4,19.2,76.0,93.0,37.0,56.0,13.444444437999998,0.0,,92.88184666666666,74.77,76.0,78.4,80.8,100.0,44.950837070378974,57.85909578332349,45.46795844083557,10
Germany,21.72222222,-2.611111111,8.111111111,746.76,1150.562982149625,83783.942,83517.045,1.0032,357114.0,233.8666,35.42,64.58,73.77,27.48,80.0,94.0,39.0,55.0,22.666666676000006,0.0,,84.40889333333334,64.58,80.0,73.77,72.52,100.0,51.62306761130641,56.207581270546264,45.438929723824124,10
Bolivia,26.5,6.055555556,17.16666667,853.44,,11673.021,11513.1,1.0139,1098581.0,10.48,55.39,44.61,,73.25,31.0,66.0,27.0,39.0,38.22222222400001,57.50000002800001,,70.48,44.61,31.0,,26.75,79.0,93.91450119038632,,45.33701744202415,8
