Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Burundi,27.05555556,13.27777778,20.0,1231.9,,11890.784,11530.58,1.0312,27834.0,414.2624,,,,,19.0,14.0,4.0,10.0
Cambodia,34.72222222,20.38888889,27.0,1760.22,650.0209543443094,16718.965,16486.542,1.0141,181035.0,91.0683,51.22,48.78,,78.21,21.0,24.0,5.0,19.0
Cameroon,31.22222222,17.33333333,23.83333333,1930.4,440.216848997754,26545.863,25876.38,1.0259,475442.0,54.4259,,,,,25.0,16.0,7.0,9.0
Mexico,31.38888889,8.277777778,20.61111111,934.72,627.0694160727543,128932.753,127575.529,1.0106,1964375.0,64.9446,55.0,45.0,72.51,61.24,31.0,61.0,27.0,34.0
Cape Verde,28.88888889,18.05555556,22.66666667,177.8,,555.987,549.935,1.011,4033.0,136.3588,,,,,,,,
Cayman Islands,31.27777778,21.66666667,26.77777778,1303.02,2373.888573119892,65.722,64.948,1.0119,264.0,246.0152,,,,,,,,
Central African Republic,34.72222222,17.0,24.88888889,1460.5,,4829.767,4745.185,1.0178,622984.0,7.6169,,,,,26.0,9.0,3.0,6.0
Chad,40.0,15.44444444,27.27777778,695.96,,16425.864,15946.876,1.03,1284000.0,12.4197,,,,,21.0,17.0,3.0,14.0
Channel Islands,19.77777778,4.166666667,10.72222222,482.6,,,,,,,,,,,,,,
Singapore,31.11111111,22.77777778,26.44444444,2245.36,1583.1703774436469,5850.342,5804.337,1.0079,710.0,8175.1225,32.98,67.02,70.88,33.16,85.0,48.0,19.0,29.0
China,28.5,-7.777777778,12.94444444,975.36,747.1414374814195,1439323.776,1433783.686,1.0039,9706961.0,147.7068,30.17,69.83,66.38,81.47,42.0,9.0,-2.0,11.0
Christmas Island,27.77777778,21.66666667,25.0,2103.12,,,,,,,,,,,,,,
Cocos Islands,29.44444444,23.33333333,26.11111111,1953.26,,,,,,,,,,,,,,
Costa Rica,30.94444444,19.27777778,24.72222222,1529.08,794.0668545667932,5094.118,5047.561,1.0092,51100.0,98.7781,55.34,44.66,62.92,44.07,57.0,91.0,38.0,53.0
Comoros,29.61111111,18.44444444,23.72222222,2334.26,,869.601,850.886,1.022,1862.0,456.9742,,,,,21.0,42.0,16.0,26.0
Cook Islands,29.61111111,22.66666667,25.94444444,2159.0,,17.564,17.548,1.0009,236.0,74.3559,,,,,,,,
Puerto Rico,30.94444444,18.0,24.61111111,1666.24,1034.580553376717,2860.853,2933.408,0.9753,8870.0,330.7112,63.35,36.65,55.57,50.45,,,,
Cote D'Ivoire,32.94444444,19.83333333,26.22222222,1379.22,,,,,,,,,,,,,,
Croatia,27.33333333,0.833333333,12.83333333,1043.94,874.2133019723212,4105.267,4130.304,0.9939,56594.0,72.9813,24.91,75.09,64.23,30.58,47.0,85.0,36.0,49.0
Cuba,31.27777778,18.94444444,25.27777778,1120.14,764.4240121932011,11326.616,11333.483,0.9994,109884.0,103.1404,29.09,70.91,,,47.0,13.0,1.0,12.0
Curaçao,31.66666667,24.44444444,27.5,541.02,,,,,,,,,,,,,,
Cyprus,31.77777778,7.555555556,18.94444444,391.16,1010.6785970643648,1207.359,1198.575,1.0073,9251.0,129.5617,31.97,68.03,52.71,56.77,57.0,94.0,38.0,56.0
Czech Republic,20.94444444,-5.277777778,6.944444444,695.96,,10708.981,10689.209,1.0018,78865.0,135.5381,25.31,74.69,75.37,36.3,,91.0,36.0,55.0
Democratic Republic Of The Congo,30.27777778,16.55555556,23.5,1501.14,,,,,,,,,,,18.0,20.0,5.0,15.0
Denmark,19.88888889,-1.666666667,7.777777778,607.06,1424.6957130655444,5792.202,5771.876,1.0035,43094.0,133.9369,26.72,73.28,79.96,20.4,88.0,97.0,40.0,57.0
Djibouti,37.5,19.44444444,28.5,177.8,891.8083980003674,988.0,973.56,1.0148,23200.0,41.9638,,,,,27.0,24.0,5.0,19.0
Dominica,,,25.0,1935.48,863.6418574050055,71.986,71.808,1.0025,751.0,95.6165,,,,,55.0,93.0,37.0,56.0
